route_id,direction_id,stop_order,subline_num,route_pattern_name,from_stop_id,from_station_id,from_stop_name,to_stop_id,to_station_id,to_stop_name,from_to_meters,cumulative_meters,from_to_miles,cumulative_miles,total_miles,ObjectId
Blue,0,0,0,Wonderland - Bowdoin,70059,place-wondl,Wonderland,70057,place-rbmnl,Revere Beach,648.07954,648.07954,0.402697956,0.402697956,5.949268349,1
Blue,0,1,0,Wonderland - Bowdoin,70057,place-rbmnl,Revere Beach,70055,place-bmmnl,Beachmont,1198.237979,1846.317519,0.744550562,1.147248518,5.949268349,2
Blue,0,2,0,Wonderland - Bowdoin,70055,place-bmmnl,Beachmont,70053,place-sdmnl,Suffolk Downs,849.599507,2695.917026,0.527916659,1.675165177,5.949268349,3
Blue,0,3,0,Wonderland - Bowdoin,70053,place-sdmnl,Suffolk Downs,70051,place-orhte,Orient Heights,745.434098,3441.351124,0.463191274,2.138356451,5.949268349,4
Blue,0,4,0,Wonderland - Bowdoin,70051,place-orhte,Orient Heights,70049,place-wimnl,Wood Island,1742.139558,5183.490682,1.082515334,3.220871785,5.949268349,5
Blue,0,5,0,Wonderland - Bowdoin,70049,place-wimnl,Wood Island,70047,place-aport,Airport,882.258242,6065.748924,0.548209856,3.769081641,5.949268349,6
Blue,0,6,0,Wonderland - Bowdoin,70047,place-aport,Airport,70045,place-mvbcl,Maverick,1011.410313,7077.159237,0.628461232,4.397542873,5.949268349,7
Blue,0,7,0,Wonderland - Bowdoin,70045,place-mvbcl,Maverick,70043,place-aqucl,Aquarium,1527.173332,8604.332569,0.948941514,5.346484387,5.949268349,8
Blue,0,8,0,Wonderland - Bowdoin,70043,place-aqucl,Aquarium,70041,place-state,State,502.557083,9106.889652,0.312274494,5.658758881,5.949268349,9
Blue,0,9,0,Wonderland - Bowdoin,70041,place-state,State,70039,place-gover,Government Center,199.673364,9306.563016,0.124071276,5.782830157,5.949268349,10
Blue,0,10,0,Wonderland - Bowdoin,70039,place-gover,Government Center,70838,place-bomnl,Bowdoin,282.865476,9589.428492,0.175764458,5.958594615,5.949268349,11
Green,0,15,1,Government Center - Boston College,71151,place-kencl,Kenmore,70149,place-bland,Blandford Street,420.051315,3952.090884,0.261007786,2.455715424,6.43163209,29
Green,0,16,1,Government Center - Boston College,70149,place-bland,Blandford Street,70147,place-buest,Boston University East,370.828826,4322.91971,0.23042235,2.686137774,6.43163209,30
Green,0,17,1,Government Center - Boston College,70147,place-buest,Boston University East,70145,place-bucen,Boston University Central,233.499316,4556.419026,0.145089748,2.831227523,6.43163209,31
Green,0,18,1,Government Center - Boston College,70145,place-bucen,Boston University Central,170141,place-amory,Amory Street,632.336009,5188.755035,0.39291538,3.224142902,6.43163209,32
Green,0,19,1,Government Center - Boston College,170141,place-amory,Amory Street,170137,place-babck,Babcock Street,436.610896,5625.365931,0.271297433,3.495440335,6.43163209,33
Green,0,20,1,Government Center - Boston College,170137,place-babck,Babcock Street,70135,place-brico,Packard's Corner,454.39391,6079.759841,0.282347286,3.777787621,6.43163209,34
Green,0,21,1,Government Center - Boston College,70135,place-brico,Packard's Corner,70131,place-harvd,Harvard Avenue,469.896717,6549.656558,0.291980283,4.069767904,6.43163209,35
Green,0,22,1,Government Center - Boston College,70131,place-harvd,Harvard Avenue,70129,place-grigg,Griggs Street,348.280217,6897.936775,0.216411294,4.286179198,6.43163209,36
Green,0,23,1,Government Center - Boston College,70129,place-grigg,Griggs Street,70127,place-alsgr,Allston Street,283.456688,7181.393463,0.17613182,4.462311018,6.43163209,37
Green,0,24,1,Government Center - Boston College,70127,place-alsgr,Allston Street,70125,place-wrnst,Warren Street,228.705736,7410.099199,0.142111156,4.604422174,6.43163209,38
Green,0,25,1,Government Center - Boston College,70125,place-wrnst,Warren Street,70121,place-wascm,Washington Street,586.605474,7996.704673,0.364499743,4.968921917,6.43163209,39
Green,0,26,1,Government Center - Boston College,70121,place-wascm,Washington Street,70117,place-sthld,Sutherland Road,445.80558,8442.510253,0.277010745,5.245932661,6.43163209,40
Green,0,27,1,Government Center - Boston College,70117,place-sthld,Sutherland Road,70115,place-chswk,Chiswick Road,401.597413,8844.107666,0.249541063,5.495473725,6.43163209,41
Green,0,28,1,Government Center - Boston College,70115,place-chswk,Chiswick Road,70113,place-chill,Chestnut Hill Avenue,296.521907,9140.629573,0.184250171,5.679723896,6.43163209,42
Green,0,29,1,Government Center - Boston College,70113,place-chill,Chestnut Hill Avenue,70111,place-sougr,South Street,430.306436,9570.936009,0.267380023,5.947103919,6.43163209,43
Green,0,30,1,Government Center - Boston College,70111,place-sougr,South Street,70107,place-lake,Boston College,752.513193,10323.4492,0.46759002,6.414693939,6.43163209,44
Green,0,15,0,Government Center - Cleveland Circle,70151,place-kencl,Kenmore,70211,place-smary,Saint Mary's Street,1090.560759,4623.181456,0.677643039,2.872711773,14.42749266,73
Green,0,16,0,Government Center - Cleveland Circle,70211,place-smary,Saint Mary's Street,70213,place-hwsst,Hawes Street,357.89084,4981.072296,0.222383058,3.095094831,14.42749266,74
Green,0,17,0,Government Center - Cleveland Circle,70213,place-hwsst,Hawes Street,70215,place-kntst,Kent Street,205.342319,5186.414615,0.127593802,3.222688633,14.42749266,75
Green,0,18,0,Government Center - Cleveland Circle,70215,place-kntst,Kent Street,70217,place-stpul,Saint Paul Street,248.720014,5435.134629,0.154547452,3.377236084,14.42749266,76
